loco_type,loco_traction,loco_description,loco_length,loco_hauling_power,loco_axle_load,loco_axle_unit,loco_gauge_code,Permanant domain
WDS6,D,BROAD GAUGE DIESEL SHUNTING SERVICE,15.29,1400,21,T,1,SHUNTING
YDM1,D,METER GAUGE DIESEL MIX. SERVICE,12.02,,11,T,2,MIXED
YDM2,D,METER GAUGE DIESEL MIX. SERVICE,12.39,,12,T,2,MIXED
YDM4,D,METER GAUGE DIESEL MIX. SERVICE,15.21,,12,T,2,MIXED
YDM4A,D,METER GAUGE DIESEL MIX. SERVICE,15.21,1400,12,T,2,MIXED
ZDM3,D,NARROW DIESEL MIX,10.3,700,9.25,T,4,MIXED
ZDM3A,D,NARROW DIESEL MIX,,,9.25,T,4,MIXED
ZDM3B,D,NARROW DIESEL MIX,,,9.25,T,4,MIXED
ZDM4,D,NARROW DIESEL MIX,11.262,700,40,T,4,MIXED
ZDM4A,D,NARROW DIESEL MIX,,,39,T,4,MIXED
ZDM5,D,NARROW GAUGE DIESEL MIX. SERVICE,9.75,,40,T,4,MIXED
WAG5T,E,BROAD GAUGE AC GOODS SERVICE,,,18.8,T,,GOODS
WAM4P,E,BROAD GAUGE AC MIX. SERVICE,,,18.8,T,,MIXED
WDP3,D,BROAD GUAGE DIESEL PASSENGER SERVICE,,,19.5,T,,PASSENGER
WDM2G,D,BROAD GUAGE DIESEL MIXED SERVICE,,2400,18.8,T,,MIXED
